Nome_Azienda,URL_Sito,Google_Business_Link,Categoria,Priorita,Email,Immagini,Link_Demo,Data_Generazione,Data_Contatto,Contattato,Citta,Sito_Pre2020,Mobile_Friendly,Channel_Manager,Blog,Criteri_Soddisfatti,Note,Brief_Demo_OpenClaw
Hotel Mareblu Terme,https://www.hotelmareblu.it,https://www.google.com/maps/search/?api=1&query=Hotel+Mareblu+Terme+Ischia+Porto,Hotel 5 stelle,1,,https://www.hotelmareblu.it/inc/scripts/source/www.hotelmareblu.it/crp450x800-sf-mobi.jpg?f=webp&v=1777905207.jpg https://www.hotelmareblu.it/inc/scripts/source/www.hotelmareblu.it/crp450x800-sf-footer.jpg?f=webp&v=1777905207.jpg https://www.hotelmareblu.it/inc/scripts/source/www.hotelmareblu.it/crp450x764-sf-room-home.jpg?f=webp&v=1777905207.jpg,,2026-06-10,,No,Ischia Porto,Sì (probabile),Sì (SEO 100),No (non rilevato),Incerto,4.5,68 camere e suite terme interne spa piscina termale coperta sul mare centro Ischia Porto indipendente. | PageSpeed: perf=79 seo=100 bp=96. Stack: core-js. Booking engine: non rilevato. LUSSO(plus). Blog non verificato (0.5).,Hotel Mareblu Terme; Hotel 5 stelle; Ischia Porto; 68 camere e suite terme interne spa piscina termale coperta sul mare centro Ischia Porto indipendente; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Motoscafisti di Capri,https://www.motoscafisticapri.com,https://www.google.com/maps/search/?api=1&query=Motoscafisti+di+Capri+Capri,Tour operator barca,2,info@motoscafisticapri.com,https://www.motoscafisticapri.com/build/images/markers-shadow@2x.dfc8c849.png https://www.motoscafisticapri.com/build/images/markers-soft@2x.1f2cc179.png,,2026-06-10,,No,Capri,Incerto,Sì (SEO 92),No (non rilevato),Incerto,3.0,Cooperativa storica dal 1955 giro isola Grotta Azzurra Faraglioni pontile 0 Marina Grande. | PageSpeed: perf=59 seo=92 bp=100. Stack: Leaflet|Lo-Dash|core-js. Booking engine: non rilevato. Blog non verificato (0.5).,Motoscafisti di Capri; Tour operator barca; Capri; Cooperativa storica dal 1955 giro isola Grotta Azzurra Faraglioni pontile 0 Marina Grande; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Gianni's Boat,https://www.giannisboat.com,https://www.google.com/maps/search/?api=1&query=Gianni%27s+Boat+Capri,Tour operator barca,2,reservations@giannisboat.com,https://www.giannisboat.com/images/gianni-1.png https://www.giannisboat.com/images/1b_t.jpg https://www.giannisboat.com/images/g1_t.jpg,,2026-06-10,,No,Capri,Sì (probabile),Parziale (SEO 83),No (non rilevato),Incerto,3.5,Tour privati Capri Costiera tramonto base Marina Grande premium. | PageSpeed: perf=49 seo=83 bp=62. Stack: MooTools|WebFont Loader|core-js. Booking engine: non rilevato. Blog non verificato (0.5).,Gianni's Boat; Tour operator barca; Capri; Tour privati Capri Costiera tramonto base Marina Grande premium; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Capri Precious,https://en.capriprecious.com,https://www.google.com/maps/search/?api=1&query=Capri+Precious+Capri,Tour operator barca,4,,,,2026-06-10,,No,Capri,No,Sì (SEO 100),Sì (fareharbor),Incerto,1.5,Tour privati e noleggio Grotta Azzurra calette contatti via WhatsApp form. | PageSpeed: perf=37 seo=100 bp=57. Stack: react|React|Lo-Dash|RequireJS|core-js. Booking engine: fareharbor. Blog non verificato (0.5).,Capri Precious; Tour operator barca; Capri; Tour privati e noleggio Grotta Azzurra calette contatti via WhatsApp form; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Capri Mia Boat Tours,https://www.caprimiaboattours.com,https://www.google.com/maps/search/?api=1&query=Capri+Mia+Boat+Tours+Capri,Tour operator barca,2,info@caprimiaboattours.com,https://www.caprimiaboattours.com/wp-content/uploads/2022/05/249176842_341417177849893_6291576449599788306_n.jpg https://www.caprimiaboattours.com/wp-content/plugins/instagram-feed/img/placeholder.png https://www.caprimiaboattours.com/wp-content/themes/Divi/includes/builder/styles/images/preloader.gif,,2026-06-10,,No,Capri,Incerto (stack classico),Sì (SEO 100),No (non rilevato),Incerto,3.0,Tour privati 2-8h Grotta Azzurra Faraglioni snorkeling Costiera. | PageSpeed: perf=39 seo=100 bp=100. Stack: wordpress|jQuery|Isotope|Moment.js|WordPress. Booking engine: non rilevato. Blog non verificato (0.5).,Capri Mia Boat Tours; Tour operator barca; Capri; Tour privati 2-8h Grotta Azzurra Faraglioni snorkeling Costiera; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Ciro Capri Boats,https://www.cirosboat.com,https://www.google.com/maps/search/?api=1&query=Ciro+Capri+Boats+Capri,Tour operator barca,2,info@cirosboat.com,https://www.cirosboat.com/imag/foto/slide/capriboats%20(18).jpg https://www.cirosboat.com/imag/ciro%20aliperta.jpg https://www.cirosboat.com/imag/trip%20boat.jpg,,2026-06-10,,No,Capri,Sì (probabile),Sì (SEO 92),No (non rilevato),Incerto,3.5,Skipper locale tour privati su gozzo Via Colombo 75 Capri. | PageSpeed: perf=43 seo=92 bp=92. Stack: Bootstrap|jQuery|jQuery UI|Isotope|FlexSlider|core-js. Booking engine: non rilevato. Blog non verificato (0.5).,Ciro Capri Boats; Tour operator barca; Capri; Skipper locale tour privati su gozzo Via Colombo 75 Capri; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Hotel Savoia,https://www.hotelsavoiaprocida.com,https://www.google.com/maps/search/?api=1&query=Hotel+Savoia+Procida,Hotel 3 stelle,3,info@hotelsavoiaprocida.com,,,2026-06-10,,No,Procida,Da analizzare,Da analizzare (no PageSpeed),Da analizzare,Incerto,2.0,16 camere Via Lavadera Marina Grande piscina storico albergo di famiglia. | PageSpeed: perf=FAIL seo= bp=. Stack: n/d. Booking engine: non rilevato. Blog non verificato (0.5).,Hotel Savoia; Hotel 3 stelle; Procida; 16 camere Via Lavadera Marina Grande piscina storico albergo di famiglia; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
La Suite Boutique Hotel & Spa,https://www.lasuiteresort.com,https://www.google.com/maps/search/?api=1&query=La+Suite+Boutique+Hotel+%26+Spa+Procida,Hotel 4 stelle boutique,3,info@lasuiteresort.com,https://www.lasuiteresort.com/wp-content/uploads/2018/01/facebook.png https://www.lasuiteresort.com/wp-content/uploads/2018/01/instagram.png https://www.lasuiteresort.com/wp-content/uploads/2018/01/suite-superior-1-300x141.jpg,,2026-06-10,,No,Procida,Sì (probabile),Parziale (SEO 83),Sì (krossbooking),Incerto,2.5,21 camere e suite giardino 5000 mq spa piscina lusso. | PageSpeed: perf=51 seo=83 bp=88. Stack: wordpress|jQuery|jQuery UI|Moment.js|WordPress|core-js. Booking engine: krossbooking. LUSSO(plus). Blog non verificato (0.5).,La Suite Boutique Hotel & Spa; Hotel 4 stelle boutique; Procida; 21 camere e suite giardino 5000 mq spa piscina lusso; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Hotel La Corricella,https://www.hotelcorricella.it,https://www.google.com/maps/search/?api=1&query=Hotel+La+Corricella+Procida,Hotel 3 stelle,4,info@hotelcorricella.it,http://www.hotelcorricella.it/assets/img/gallery-2.jpg http://www.hotelcorricella.it/assets/img/gallery-3.jpg http://www.hotelcorricella.it/assets/img/gallery-4.jpg,,2026-06-10,,No,Procida,No,Parziale (SEO 82),Sì (beddy),Incerto,1.5,9 camere Via Marina Corricella 88 terrazza solarium vista borgo dei pescatori charme. | PageSpeed: perf=56 seo=82 bp=77. Stack: angular|Bootstrap|LitElement|lit-html|Google Maps|jQuery|Lo-. Booking engine: beddy. LUSSO(plus). Blog non verificato (0.5).,Hotel La Corricella; Hotel 3 stelle; Procida; 9 camere Via Marina Corricella 88 terrazza solarium vista borgo dei pescatori charme; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Hotel La Casa sul Mare,https://www.lacasasulmare.it,https://www.google.com/maps/search/?api=1&query=Hotel+La+Casa+sul+Mare+Procida,Hotel 4 stelle,4,info@lacasasulmare.it,https://www.lacasasulmare.it/wp-content/plugins/sitepress-multilingual-cms/res/flags/it.png https://www.lacasasulmare.it/wp-content/plugins/sitepress-multilingual-cms/res/flags/en.png https://www.lacasasulmare.it/wp-content/uploads/2015/06/colazione-255x170.jpg,,2026-06-10,,No,Procida,No,Sì (SEO 85),Sì (beddy),Incerto,1.5,10 camere Salita Castello 13 palazzo 700 restaurato unico 4 stelle dell'isola lusso boutique. | PageSpeed: perf=28 seo=85 bp=96. Stack: wordpress|angular|LitElement|lit-html|Google Maps|jQuery|Mod. Booking engine: beddy. LUSSO(plus). Blog non verificato (0.5).,Hotel La Casa sul Mare; Hotel 4 stelle; Procida; 10 camere Salita Castello 13 palazzo 700 restaurato unico 4 stelle dell'isola lusso boutique; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
San Michele Boutique Hotel,https://sanmicheleprocida.com,https://www.google.com/maps/search/?api=1&query=San+Michele+Boutique+Hotel+Procida,Hotel boutique,3,info@sanmicheleprocida.com,https://sanmicheleprocida.com/wp/wp-content/uploads/2018/01/facebook.png https://sanmicheleprocida.com/wp/wp-content/uploads/2018/01/instagram.png https://sanmicheleprocida.com/wp/wp-content/uploads/2022/03/sanmicheleprocida_Ristorante_1DX_0366-2-1200x800.jpg,,2026-06-10,,No,Procida,Sì (probabile),Parziale (SEO 75),Sì (krossbooking),Incerto,2.5,12 suite Marina Corricella bohemian luxury esperienziale. | PageSpeed: perf=40 seo=75 bp=92. Stack: wordpress|Bootstrap|jQuery|jQuery UI|Moment.js|WordPress|cor. Booking engine: krossbooking. LUSSO(plus). Blog non verificato (0.5).,San Michele Boutique Hotel; Hotel boutique; Procida; 12 suite Marina Corricella bohemian luxury esperienziale; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Vi.Ta Procida Rooms,https://vitaprocidarooms.it,https://www.google.com/maps/search/?api=1&query=Vi.Ta+Procida+Rooms+Procida,B&B,3,,https://vitaprocidarooms.it/wp-content/uploads/2021/11/Vi.ta-22.png https://vitaprocidarooms.it/wp-content/uploads/2023/02/WhatsApp-Image-2023-01-27-at-18.50.18-1-e1676205357987-768x766.jpeg https://vitaprocidarooms.it/wp-content/uploads/2023/03/procida-island-italy-768x512.jpg,,2026-06-10,,No,Procida,Sì (probabile),Sì (SEO 92),No (non rilevato),Incerto,2.5,Baia della Chiaiozza apertura 2022 accesso privato al mare colazione vista mare. | PageSpeed: perf=64 seo=92 bp=100. Stack: wordpress|jQuery|jQuery UI|Underscore|WordPress|core-js. Booking engine: non rilevato. Blog non verificato (0.5).,Vi.Ta Procida Rooms; B&B; Procida; Baia della Chiaiozza apertura 2022 accesso privato al mare colazione vista mare; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
B&B Il Patio,https://www.bbilpatio.it,https://www.google.com/maps/search/?api=1&query=B%26B+Il+Patio+Procida,B&B,3,,,,2026-06-10,,No,Procida,Sì (probabile),Sì (SEO 100),No (non rilevato),Incerto,2.5,Via Vittorio Emanuele 234 centro patio caratteristico vicino Spiaggia della Chiaia. | PageSpeed: perf=70 seo=100 bp=96. Stack: n/d. Booking engine: non rilevato. Blog non verificato (0.5).,B&B Il Patio; B&B; Procida; Via Vittorio Emanuele 234 centro patio caratteristico vicino Spiaggia della Chiaia; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Pro Loco di Procida,http://www.prolocodiprocida.it,https://www.google.com/maps/search/?api=1&query=Pro+Loco+di+Procida+Procida,Tour operator / associazione turistica,2,prolocodiprocida@gmail.com,,,2026-06-10,,No,Procida,Sì (probabile),Parziale (SEO 80),No (non rilevato),Incerto,3.5,Via Roma 108 escursioni visite guidate gite in barca tour culturali. | PageSpeed: perf=100 seo=80 bp=74. Stack: n/d. Booking engine: non rilevato. Blog non verificato (0.5).,Pro Loco di Procida; Tour operator / associazione turistica; Procida; Via Roma 108 escursioni visite guidate gite in barca tour culturali; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
