Nome_Azienda,URL_Sito,Google_Business_Link,Categoria,Priorita,Email,Telefono,WhatsApp,Immagini,Link_Demo,Data_Generazione,Data_Contatto,Contattato,Citta,Sito_Pre2020,Mobile_Friendly,Channel_Manager,Blog,Criteri_Soddisfatti,Note,Brief_Demo_OpenClaw
Hotel Polo Nautico,https://www.hotelpolonautico.it,https://www.google.com/maps/search/?api=1&query=Hotel+Polo+Nautico+Salerno,Hotel 4 stelle,2,,+39 089 711196 / +39 375 5620912,https://wa.me/393755620912,https://www.hotelpolonautico.it/images/public/slider/mobile-big/dji00088_1657011107.png https://www.hotelpolonautico.it/images/public/slider/mobile-big/dji00022_1657010880.png https://www.hotelpolonautico.it/images/public/slider/mobile-big/terrazza_1657011198.jpg,,2026-06-10,,No,Salerno,Sì (probabile),Parziale (SEO 77),No (non rilevato),Incerto,3.5,30 camere unico hotel sul lungomare di Salerno vista mare indipendente. | PageSpeed: perf=62 seo=77 bp=100. Stack: jQuery|jQuery UI|jQuery Mobile. Booking engine: non rilevato. Blog non verificato (0.5).,Hotel Polo Nautico; Hotel 4 stelle; Salerno; 30 camere unico hotel sul lungomare di Salerno vista mare indipendente; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Hotel Europa,https://www.hoteleuropaminori.it,https://www.google.com/maps/search/?api=1&query=Hotel+Europa+Minori,Hotel 3 stelle,3,info@hoteleuropaminori.it,+39 089 877512 / +39 340 3382917,https://wa.me/393403382917,https://www.hoteleuropaminori.it/qwerty/wp-content/plugins/masterslider/public/assets/css/blank.gif https://www.hoteleuropaminori.it/qwerty/wp-content/uploads/2020/11/IMG_5122-815x458.jpg https://www.hoteleuropaminori.it/qwerty/wp-content/uploads/2017/09/002.jpg?id=2044,,2026-06-10,,No,Minori,No,Sì (SEO 92),No (non rilevato),Incerto,2.5,Via Strada Nuova gestione familiare centro Minori parcheggio privato. | PageSpeed: perf=59 seo=92 bp=92. Stack: wordpress|react|jQuery|jQuery UI|React|Modernizr|yepnope|Wor. Booking engine: non rilevato. Blog non verificato (0.5).,Hotel Europa; Hotel 3 stelle; Minori; Via Strada Nuova gestione familiare centro Minori parcheggio privato; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Hotel Botanico San Lazzaro,https://hbsl.com,https://www.google.com/maps/search/?api=1&query=Hotel+Botanico+San+Lazzaro+Maiori,Boutique 5 stelle,1,info@hbsl.it,+39 089 877750,,https://hbsl.com/wp-content/uploads/2023/11/Tavola-disegno-19.png https://hbsl.com/wp-content/plugins/sitepress-multilingual-cms/res/flags/en.svg https://hbsl.com/wp-content/uploads/2023/12/Hotel-Botanico-san-lazzaro.png,,2026-06-10,,No,Maiori,Incerto (stack classico),Sì (SEO 92),No (non rilevato),Incerto,4.0,Antico quartiere Lazzaro boutique panoramico vista mare luxury. | PageSpeed: perf=65 seo=92 bp=73. Stack: wordpress|jQuery|WordPress. Booking engine: non rilevato. LUSSO(plus). Blog non verificato (0.5).,Hotel Botanico San Lazzaro; Boutique 5 stelle; Maiori; Antico quartiere Lazzaro boutique panoramico vista mare luxury; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Reginna Palace Hotel,https://www.hotelreginna.it,https://www.google.com/maps/search/?api=1&query=Reginna+Palace+Hotel+Maiori,Hotel 4 stelle,2,info@reginna.it,+39 089 877183,,https://www.hotelreginna.it/wp-content/plugins/sitepress-multilingual-cms/res/flags/it.svg https://www.hotelreginna.it/wp-content/plugins/sitepress-multilingual-cms/res/flags/en.svg https://www.hotelreginna.it/wp-content/uploads/2024/03/colazione-esterna10-768x1152.jpg,,2026-06-10,,No,Maiori,Sì (probabile),Sì (SEO 85),No (non rilevato),Incerto,3.5,Via Colombo grande struttura piscine vicino lungomare 4 stelle classico. | PageSpeed: perf=72 seo=85 bp=100. Stack: wordpress|jQuery|jQuery UI|WordPress|core-js. Booking engine: non rilevato. Blog non verificato (0.5).,Reginna Palace Hotel; Hotel 4 stelle; Maiori; Via Colombo grande struttura piscine vicino lungomare 4 stelle classico; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Hotel San Francesco,https://www.hotel-sanfrancesco.it,https://www.google.com/maps/search/?api=1&query=Hotel+San+Francesco+Maiori,Hotel 4 stelle,2,info@hotel-sanfrancesco.it,+39 089 877070,,https://hotel-sanfrancesco.it/wp-content/uploads/2023/05/hotel-san-francesco-maiori-amalfi-coast-junior-suite-camere-room_411_002_230420-_DSC2746-HDR.jpg https://hotel-sanfrancesco.it/wp-content/uploads/2021/04/maiori_amalfi-coast_salvatoreguadagno.com_04.jpg https://hotel-sanfrancesco.it/wp-content/uploads/2023/05/hotel-san-francesco-maiori-amalfi-coast-junior-suite-camere-room_411_012_230420-_DSC2831-768x512.jpg,,2026-06-10,,No,Maiori,Incerto (stack classico),Sì (SEO 92),No (non rilevato),Incerto,3.0,Via Santa Tecla vicino centro storico fronte mare. | PageSpeed: perf=62 seo=92 bp=96. Stack: wordpress|jQuery|WordPress|core-js. Booking engine: non rilevato. Blog non verificato (0.5).,Hotel San Francesco; Hotel 4 stelle; Maiori; Via Santa Tecla vicino centro storico fronte mare; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Hotel Panorama,https://www.hotelpanoramamaiori.com,https://www.google.com/maps/search/?api=1&query=Hotel+Panorama+Maiori,Hotel 4 stelle,2,,+39 089 877202,,https://www.hotelpanoramamaiori.com/wp-content/uploads/2021/06/20140705-_DSC0082.jpg https://www.hotelpanoramamaiori.com/wp-content/plugins/revslider/sr6/assets/assets/dummy.png https://www.hotelpanoramamaiori.com/wp-content/uploads/2024/03/Roof-Terrace.svg,,2026-06-10,,No,Maiori,Sì (probabile),Sì (SEO 85),No (non rilevato),Incerto,3.5,Via Santa Tecla piscina roof restaurant centro Maiori fronte mare. | PageSpeed: perf=8 seo=85 bp=96. Stack: wordpress|jQuery|jQuery UI|WordPress|core-js. Booking engine: non rilevato. Blog non verificato (0.5).,Hotel Panorama; Hotel 4 stelle; Maiori; Via Santa Tecla piscina roof restaurant centro Maiori fronte mare; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Hotel Cetus,https://www.hotelcetus.com,https://www.google.com/maps/search/?api=1&query=Hotel+Cetus+Cetara,Hotel 4 stelle,2,info@hotelcetus.com,+39 089 261388,,https://www.hotelcetus.com/source/onde-menu.svg https://www.hotelcetus.com/inc/scripts/source/www.hotelcetus.com/crp450x650-index-1.jpg?f=webp&v=1776841516.jpg https://www.hotelcetus.com/source/trip.svg,,2026-06-10,,No,Cetara,Sì (probabile),Sì (SEO 100),No (non rilevato),Incerto,3.5,Corso Umberto I promontorio a picco sul mare spiaggia privata wellness unico 4 stelle del borgo. | PageSpeed: perf=72 seo=100 bp=100. Stack: n/d. Booking engine: non rilevato. Blog non verificato (0.5).,Hotel Cetus; Hotel 4 stelle; Cetara; Corso Umberto I promontorio a picco sul mare spiaggia privata wellness unico 4 stelle del borgo; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Cetara Albergo Diffuso,https://www.cetaraalbergodiffuso.com,https://www.google.com/maps/search/?api=1&query=Cetara+Albergo+Diffuso+Cetara,Albergo diffuso,2,cetaraalbergodiffuso@gmail.com,+39 089 262014 / +39 329 6684352,https://wa.me/393296684352,https://www.cetaraalbergodiffuso.com/template/canvasfull/static/images/flags/en.png https://www.cetaraalbergodiffuso.com/template/canvasfull/static/images/flags/it.png,,2026-06-10,,No,Cetara,Sì (probabile),Parziale (SEO 77),No (non rilevato),Incerto,3.5,Piazza Martiri Ungheresi camere e suite diffuse nel borgo marinaro. | PageSpeed: perf=53 seo=77 bp=81. Stack: Bootstrap|jQuery|jQuery UI|Isotope|Moment.js|FlexSlider. Booking engine: non rilevato. Blog non verificato (0.5).,Cetara Albergo Diffuso; Albergo diffuso; Cetara; Piazza Martiri Ungheresi camere e suite diffuse nel borgo marinaro; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Tenuta San Francesco wine resort,https://www.vinitenutasanfrancesco.com,https://www.google.com/maps/search/?api=1&query=Tenuta+San+Francesco+wine+resort+Tramonti,Cantina / wine experience,2,aziendasanfrancesco@libero.it,+39 089 876434,,https://www.vinitenutasanfrancesco.com/wp-content/uploads/2020/06/h1-slide-Tramonti.jpg https://www.vinitenutasanfrancesco.com/wp-content/uploads/revslider/separator1.png https://www.vinitenutasanfrancesco.com/wp-content/plugins/revslider/public/assets/assets/transparent.png,,2026-06-10,,No,Tramonti,Sì (probabile),Parziale (SEO 69),No (non rilevato),Incerto,3.5,Casale '700 Parco dei Lattari degustazioni Costa d'Amalfi DOC vigne pre-fillossera. | PageSpeed: perf=48 seo=69 bp=73. Stack: wordpress|jQuery|jQuery UI|Modernizr|yepnope|Isotope|WordPre. Booking engine: non rilevato. Blog non verificato (0.5).,Tenuta San Francesco wine resort; Cantina / wine experience; Tramonti; Casale '700 Parco dei Lattari degustazioni Costa d'Amalfi DOC vigne pre-fillossera; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Amalfi Tour Guide,https://www.amalfitourguide.com,https://www.google.com/maps/search/?api=1&query=Amalfi+Tour+Guide+Amalfi,Tour operator / guide,3,info@amalfitourguide.com,,,https://www.amalfitourguide.com/wp-content/themes/citytours/img/shadow_tour.png https://www.amalfitourguide.com/wp-content/themes/citytours/img/pattern.png https://www.amalfitourguide.com/wp-content/plugins/revslider/public/assets/assets/loader.gif,,2026-06-10,,No,Amalfi,No,Sì (SEO 92),No (non rilevato),Incerto,2.5,Base ad Amalfi escursioni e trekking guide locali tutta la costiera. | PageSpeed: perf=43 seo=92 bp=100. Stack: wordpress|wp-rocket|LitElement|lit-html|Google Maps|jQuery|j. Booking engine: non rilevato. Blog non verificato (0.5).,Amalfi Tour Guide; Tour operator / guide; Amalfi; Base ad Amalfi escursioni e trekking guide locali tutta la costiera; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
AmalfiDriver.com,https://amalfidriver.com,https://www.google.com/maps/search/?api=1&query=AmalfiDriver.com+Amalfi,NCC / tour & transfer,4,booking@amalfidriver.com,,,https://amalfidriver.com/wp-content/uploads/2022/04/ad-amalfi-driver-_gold-GRANDE-LUNGO-PICCOLISSIMI.png https://amalfidriver.com/wp-content/uploads/2020/03/cruise-ship-royal-trasp.png https://amalfidriver.com/wp-content/uploads/2020/03/BANNER-ROMA-AMALFI-COAST-ok.png,,2026-06-10,,No,Amalfi,No,Parziale (SEO 77),Sì (getyourguide),Incerto,1.5,Transfer privati e tour costiera Pompei Napoli NCC licenziato. | PageSpeed: perf=47 seo=77 bp=92. Stack: wordpress|LitElement|lit-html|Google Maps|jQuery|jQuery UI|W. Booking engine: getyourguide. Blog non verificato (0.5).,AmalfiDriver.com; NCC / tour & transfer; Amalfi; Transfer privati e tour costiera Pompei Napoli NCC licenziato; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
