Nome_Azienda,URL_Sito,Google_Business_Link,Categoria,Priorita,Email,Immagini,Link_Demo,Data_Generazione,Data_Contatto,Contattato,Citta,Sito_Pre2020,Mobile_Friendly,Channel_Manager,Blog,Criteri_Soddisfatti,Note,Brief_Demo_OpenClaw
Grand Hotel Riviera Sorrento,https://www.hotelriviera.com,https://www.google.com/maps/search/?api=1&query=Grand+Hotel+Riviera+Sorrento,Hotel 4 stelle,5,info@hotelriviera.com,,,2026-06-09,,No,Sorrento,Sì (probabile),Sì (SEO 100),Sì (benvenuto|blastness),No,4.0,Gruppo Benvenuto Collection + Blastness. SEO 100. Spiaggia privata. | PageSpeed mobile: perf=86 seo=100 bp=77. Stack: n/d. Booking engine: benvenuto|blastness.,(escluso - CMS Benvenuto Collection moderno + Blastness) Grand Hotel Riviera; 4 stelle; Sorrento.
Hotel Tirrenia Sorrento,https://www.hoteltirrenia.com,https://www.google.com/maps/search/?api=1&query=Hotel+Tirrenia+Sorrento,Hotel 4 stelle,5,info@hoteltirrenia.com,,,2026-06-09,,No,Sorrento,Sì (probabile),Sì (SEO 100),Sì (benvenuto|blastness),No,3.0,Gruppo Benvenuto Collection + Blastness. SEO 100. Piscina infinity. | PageSpeed mobile: perf=85 seo=100 bp=77. Stack: n/d. Booking engine: benvenuto|blastness.,(escluso - CMS Benvenuto Collection moderno + Blastness) Hotel Tirrenia; 4 stelle; Sorrento.
Sorrento Insider / Gray Line,https://www.sorrentoinsider.com,https://www.google.com/maps/search/?api=1&query=Sorrento+Insider+Gray+Line,Marketplace/portale escursioni,5,info@iammeia.com,https://www.sorrentoinsider.com/_next/image?url=%2Fsorrentoinsider%2Fnav%2Fone-day.jpg&w=640&q=75 https://www.sorrentoinsider.com/_next/image?url=%2Fsorrentoinsider%2Fnav%2Fcapri-tours.jpg&w=640&q=75 https://www.sorrentoinsider.com/_next/image?url=%2Fsorrentoinsider%2Fnav%2Fgetting-here.jpg&w=640&q=75,,2026-06-09,,No,Sorrento,Sì (probabile),Sì (SEO 92),No (non rilevato),Sì,3.0,Piattaforma Regiondo moderna aggregatore. Funziona da guida. | PageSpeed mobile: perf=61 seo=92 bp=92. Stack: n/d. Booking engine: non rilevato.,(escluso - marketplace Regiondo moderno) Sorrento Insider / Gray Line.
Grand Hotel La Pace,https://www.ghlapace.com,https://www.google.com/maps/search/?api=1&query=Grand+Hotel+La+Pace+Sant%27Agnello,Hotel 5 stelle,1,info@ghlapace.com,https://www.ghlapace.com/wp-content/uploads/2022/04/grand-hotel-la-pace-sorrento.jpg https://www.ghlapace.com/wp-content/uploads/2022/06/barlapace1.jpg,https://naplesexperiences-netizen.github.io/experiences-demos/demos/grand-hotel-la-pace-demo-experiences/,2026-06-10,2026-06-11,No,Sant'Agnello,Sì (probabile),Sì (SEO 100),No (non rilevato),Incerto,4.5,Via Tordara 10 hotel di lusso con spa e piscine. | PageSpeed mobile: perf=69 seo=100 bp=100. Stack: wordpress|jQuery|jQuery UI|WordPress|core-js. Booking engine: non rilevato. LUSSO(plus). Blog non ancora verificato (conteggiato 0.5).,Grand Hotel La Pace; Hotel 5 stelle; Sant'Agnello; Via Tordara 10 hotel di lusso con spa e piscine; palette mediterranea su misura; sezioni: hero / camere-servizi / esperienze / posizione / contatti-prenota; lingue IT/EN; tono coerente col segmento; CTA 'Prenota ora / Richiedi disponibilità'
Hotel Caravel,https://www.hotelcaravel.com,https://www.google.com/maps/search/?api=1&query=Hotel+Caravel+Sant%27Agnello,Hotel 4 stelle,2,,https://www.hotelcaravel.com/images/public/slider/mobile-big/top_1510844517.jpg https://www.hotelcaravel.com/images/public/slider/mobile-big/foto-2_1512647149.jpg https://www.hotelcaravel.com/images/public/slider/mobile-big/superior-sea-view-423_1512647148.jpg,,2026-06-10,,No,Sant'Agnello,Sì (probabile),Parziale (SEO 77),No (non rilevato),Incerto,3.5,Corso M. Crawford 61 hotel elegante fronte costa. | PageSpeed mobile: perf=75 seo=77 bp=100. Stack: jQuery|jQuery UI|jQuery Mobile. Booking engine: non rilevato. Blog non ancora verificato (conteggiato 0.5).,Hotel Caravel; Hotel 4 stelle; Sant'Agnello; Corso M. Crawford 61 hotel elegante fronte costa; palette mediterranea su misura; sezioni: hero / camere-servizi / esperienze / posizione / contatti-prenota; lingue IT/EN; tono coerente col segmento; CTA 'Prenota ora / Richiedi disponibilità'
Hotel Crawford,https://www.hotelcrawford.it,https://www.google.com/maps/search/?api=1&query=Hotel+Crawford+Sant%27Agnello,Hotel 4 stelle,2,reservations@hotelcrawford.com,https://www.hotelcrawford.it/templates/crawford/images/1465308036_Hotel-Crawford-slide-1.jpg https://www.hotelcrawford.it/templates/crawford/images/1465308047_Hotel-Crawford-slide-2.jpg https://www.hotelcrawford.it/templates/crawford/images/1465308055_Hotel-Crawford-slide-3.jpg,https://naplesexperiences-netizen.github.io/experiences-demos/demos/hotel-crawford-santagnello-demo-experiences/,2026-06-11,2026-06-11,No,Sant'Agnello,Sì (probabile),Parziale (SEO 83),No (non rilevato),Incerto,3.5,Corso M. Crawford 77 rinnovato 2016 terrazza panoramica. | PageSpeed mobile: perf=53 seo=83 bp=73. Stack: jQuery|jQuery UI|Modernizr|yepnope. Booking engine: non rilevato. Blog non ancora verificato (conteggiato 0.5).,Hotel Crawford; Hotel 4 stelle; Sant'Agnello; Corso M. Crawford 77 rinnovato 2016 terrazza panoramica; palette mediterranea su misura; sezioni: hero / camere-servizi / esperienze / posizione / contatti-prenota; lingue IT/EN; tono coerente col segmento; CTA 'Prenota ora / Richiedi disponibilità'
Hotel Corallo,https://www.hotelcorallosorrento.com,https://www.google.com/maps/search/?api=1&query=Hotel+Corallo+Sant%27Agnello,Hotel 4 stelle,3,,https://www.hotelcorallosorrento.com/ico_shop.svg https://www.hotelcorallosorrento.com/ico_phone.svg https://www.hotelcorallosorrento.com/ico_pencil.svg,,2026-06-10,,No,Sant'Agnello,No,Sì (SEO 91),No (non rilevato),Incerto,2.5,A 2 km da Sorrento struttura familiare. | PageSpeed mobile: perf=52 seo=91 bp=92. Stack: gatsby|react|React|Gatsby|Workbox|core-js. Booking engine: non rilevato. Blog non ancora verificato (conteggiato 0.5).,Hotel Corallo; Hotel 4 stelle; Sant'Agnello; A 2 km da Sorrento struttura familiare; palette mediterranea su misura; sezioni: hero / camere-servizi / esperienze / posizione / contatti-prenota; lingue IT/EN; tono coerente col segmento; CTA 'Prenota ora / Richiedi disponibilità'
Hotel Angelina,https://www.hotelangelinasorrento.com,https://www.google.com/maps/search/?api=1&query=Hotel+Angelina+Sant%27Agnello,Hotel 2 stelle,3,info@hotelangelinasorrento.com,https://www.hotelangelinasorrento.com/images/Flag/IT.png https://www.hotelangelinasorrento.com/images/Flag/GB.png https://www.hotelangelinasorrento.com/images/scroll.png,,2026-06-10,,No,Sant'Agnello,Incerto (stack classico),Sì (SEO 92),No (non rilevato),Incerto,2.0,Via Cappuccini 34 hotel familiare a conduzione diretta. | PageSpeed mobile: perf=43 seo=92 bp=92. Stack: Bootstrap|jQuery. Booking engine: non rilevato. Blog non ancora verificato (conteggiato 0.5).,Hotel Angelina; Hotel 2 stelle; Sant'Agnello; Via Cappuccini 34 hotel familiare a conduzione diretta; palette mediterranea su misura; sezioni: hero / camere-servizi / esperienze / posizione / contatti-prenota; lingue IT/EN; tono coerente col segmento; CTA 'Prenota ora / Richiedi disponibilità'
Vestours,https://www.vestours.com,https://www.google.com/maps/search/?api=1&query=Vestours+Sant%27Agnello,Tour operator,2,info@vestours.com,https://www.vestours.com/gallery/gallery/1600/3g84sjijfa4g04c8wc.jpg https://www.vestours.com/gallery/thumbs/h430c2cpp40gko088.jpg https://www.vestours.com/images/lw.gif,https://naplesexperiences-netizen.github.io/experiences-demos/demos/vestours-santagnello-demo-experiences/,2026-06-11,2026-06-11,No,Sant'Agnello,Incerto (stack classico),Parziale (SEO 82),No (non rilevato),Incerto,3.0,Corso Italia 15/A tour Costiera Capri Sicilia Puglia. | PageSpeed mobile: perf=60 seo=82 bp=77. Stack: Bootstrap|jQuery. Booking engine: non rilevato. Blog non ancora verificato (conteggiato 0.5).,Vestours; Tour operator; Sant'Agnello; Corso Italia 15/A tour Costiera Capri Sicilia Puglia; palette mediterranea su misura; sezioni: hero / camere-servizi / esperienze / posizione / contatti-prenota; lingue IT/EN; tono coerente col segmento; CTA 'Prenota ora / Richiedi disponibilità'
Karsana Travel,https://karsanatravel.it,https://www.google.com/maps/search/?api=1&query=Karsana+Travel+Sant%27Agnello,Tour operator,2,info@karsanatravel.com,https://karsanatravel.it/images/english-flag.png https://karsanatravel.it/images/french-flag.png https://karsanatravel.it/images/yootheme/slide/amalfi_coast_karsanatravel.jpg,https://naplesexperiences-netizen.github.io/experiences-demos/demos/karsana-travel-santagnello-demo-experiences/,2026-06-11,2026-06-11,No,Sant'Agnello,Sì (probabile),Sì (SEO 92),No (non rilevato),Incerto,3.5,Via Maiano 8 tour operator con 28 anni di esperienza. | PageSpeed mobile: perf=39 seo=92 bp=92. Stack: joomla|jQuery|Joomla. Booking engine: non rilevato. Blog non ancora verificato (conteggiato 0.5).,Karsana Travel; Tour operator; Sant'Agnello; Via Maiano 8 tour operator con 28 anni di esperienza; palette mediterranea su misura; sezioni: hero / camere-servizi / esperienze / posizione / contatti-prenota; lingue IT/EN; tono coerente col segmento; CTA 'Prenota ora / Richiedi disponibilità'
Sopramare Resort,https://www.sopramareresort.it,https://www.google.com/maps/search/?api=1&query=Sopramare+Resort+Piano+di+Sorrento,Resort 4 stelle,2,reservation@sopramareresort.it,,,2026-06-10,,No,Piano di Sorrento,Sì (probabile),Sì (SEO 92),Sì (blastness),Incerto,3.5,Via Madonna di Roselle 52 vista Marina di Cassano e Meta. | PageSpeed mobile: perf=90 seo=92 bp=77. Stack: n/d. Booking engine: blastness. Blog non ancora verificato (conteggiato 0.5).,Sopramare Resort; Resort 4 stelle; Piano di Sorrento; Via Madonna di Roselle 52 vista Marina di Cassano e Meta; palette mediterranea su misura; sezioni: hero / camere-servizi / esperienze / posizione / contatti-prenota; lingue IT/EN; tono coerente col segmento; CTA 'Prenota ora / Richiedi disponibilità'
Hotel Cosmomare,https://www.cosmomare.it,https://www.google.com/maps/search/?api=1&query=Hotel+Cosmomare+Piano+di+Sorrento,Hotel 3 stelle,2,info@cosmomare.it,https://www.cosmomare.it/wp-content/uploads/Emblem_of_Italy.svg_-768x874.png https://www.cosmomare.it/wp-content/uploads/IMG_3867-scaled.jpg,,2026-06-10,,No,Piano di Sorrento,Sì (probabile),Sì (SEO 92),No (non rilevato),Incerto,3.5,Via Ripa di Cassano 43 vista mare diretta. | PageSpeed mobile: perf=66 seo=92 bp=100. Stack: wordpress|jQuery|jQuery UI|WordPress|core-js. Booking engine: non rilevato. Blog non ancora verificato (conteggiato 0.5).,Hotel Cosmomare; Hotel 3 stelle; Piano di Sorrento; Via Ripa di Cassano 43 vista mare diretta; palette mediterranea su misura; sezioni: hero / camere-servizi / esperienze / posizione / contatti-prenota; lingue IT/EN; tono coerente col segmento; CTA 'Prenota ora / Richiedi disponibilità'
Hotel Klein Wien,https://www.kleinwien.it,https://www.google.com/maps/search/?api=1&query=Hotel+Klein+Wien+Piano+di+Sorrento,Hotel 3 stelle,2,info@kleinwien.it,https://www.kleinwien.it/wp-content/plugins/sitepress-multilingual-cms/res/flags/it.png https://www.kleinwien.it/wp-content/plugins/sitepress-multilingual-cms/res/flags/en.png https://www.kleinwien.it/wp-content/plugins/sitepress-multilingual-cms/res/flags/de.png,,2026-06-10,,No,Piano di Sorrento,Sì (probabile),Sì (SEO 100),No (non rilevato),Incerto,3.5,Via Ripa di Cassano 45 struttura piccola a gestione familiare. | PageSpeed mobile: perf=56 seo=100 bp=100. Stack: wordpress|jQuery|Modernizr|yepnope|WordPress. Booking engine: non rilevato. Blog non ancora verificato (conteggiato 0.5).,Hotel Klein Wien; Hotel 3 stelle; Piano di Sorrento; Via Ripa di Cassano 45 struttura piccola a gestione familiare; palette mediterranea su misura; sezioni: hero / camere-servizi / esperienze / posizione / contatti-prenota; lingue IT/EN; tono coerente col segmento; CTA 'Prenota ora / Richiedi disponibilità'
Hotel Soleluna,https://www.hotelsoleluna.com,https://www.google.com/maps/search/?api=1&query=Hotel+Soleluna+Piano+di+Sorrento,Hotel 3 stelle,2,,https://www.hotelsoleluna.com/wp-content/plugins/sitepress-multilingual-cms/res/flags/it.png https://www.hotelsoleluna.com/wp-content/plugins/sitepress-multilingual-cms/res/flags/en.png https://www.hotelsoleluna.com/wp-content/uploads/2017/04/slider_08.jpg,,2026-06-10,,No,Piano di Sorrento,Sì (probabile),Sì (SEO 85),No (non rilevato),Incerto,3.5,Via Madonna di Rosella 29 hotel nel centro. | PageSpeed mobile: perf=53 seo=85 bp=88. Stack: wordpress|jQuery|jQuery UI|FlexSlider|WordPress|core-js. Booking engine: non rilevato. Blog non ancora verificato (conteggiato 0.5).,Hotel Soleluna; Hotel 3 stelle; Piano di Sorrento; Via Madonna di Rosella 29 hotel nel centro; palette mediterranea su misura; sezioni: hero / camere-servizi / esperienze / posizione / contatti-prenota; lingue IT/EN; tono coerente col segmento; CTA 'Prenota ora / Richiedi disponibilità'
Villa Iolanda,https://www.villaiolandasorrento.com,https://www.google.com/maps/search/?api=1&query=Villa+Iolanda+Piano+di+Sorrento,B&B,3,,https://www.villaiolandasorrento.com/wp-content/uploads/2019/01/cropped-villaiolandasorrentolavert_03-768x461.jpg https://www.villaiolandasorrento.com/wp-content/uploads/2018/12/Villa-Iolanda-struttura-esterna-01-768x461.jpg https://www.villaiolandasorrento.com/wp-content/uploads/2019/01/villa-iolanda-027-2000x1200.jpg,,2026-06-10,,No,Piano di Sorrento,Incerto,Sì (SEO 92),No (non rilevato),Incerto,2.0,Via Amalfi Carlo 34 vicino stazione e mare. | PageSpeed mobile: perf=83 seo=92 bp=100. Stack: wordpress|jQuery|WordPress. Booking engine: non rilevato. Blog non ancora verificato (conteggiato 0.5).,Villa Iolanda; B&B; Piano di Sorrento; Via Amalfi Carlo 34 vicino stazione e mare; palette mediterranea su misura; sezioni: hero / camere-servizi / esperienze / posizione / contatti-prenota; lingue IT/EN; tono coerente col segmento; CTA 'Prenota ora / Richiedi disponibilità'
Bed and Lemons,https://bedandlemons.it,https://www.google.com/maps/search/?api=1&query=Bed+and+Lemons+Piano+di+Sorrento,B&B,3,,https://bedandlemons.it/themes/bedlemons/assets/images/flag/united%20kingdom.png https://bedandlemons.it/themes/bedlemons/assets/images/flag/italy.png https://bedandlemons.it/themes/bedlemons/assets/images/flag/france.png,,2026-06-10,,No,Piano di Sorrento,Sì (probabile),Parziale (SEO 83),No (non rilevato),Incerto,2.5,Via San Liborio 11 villa con limoneto. | PageSpeed mobile: perf=46 seo=83 bp=96. Stack: octobercms|Bootstrap|jQuery|jQuery UI|Isotope|FlexSlider|Oct. Booking engine: non rilevato. Blog non ancora verificato (conteggiato 0.5).,Bed and Lemons; B&B; Piano di Sorrento; Via San Liborio 11 villa con limoneto; palette mediterranea su misura; sezioni: hero / camere-servizi / esperienze / posizione / contatti-prenota; lingue IT/EN; tono coerente col segmento; CTA 'Prenota ora / Richiedi disponibilità'
Hotel Giosue a Mare,https://www.giosueamare.it,https://www.google.com/maps/search/?api=1&query=Hotel+Giosue+a+Mare+Meta+di+Sorrento,Hotel 4 stelle,2,info@giosueamare.it,https://www.giosueamare.it/media/upload/images/suite/Elegance.webp https://www.giosueamare.it/media/upload/images/suite/SUITE_1951-scaled.webp https://www.giosueamare.it/media/upload/images/deluxe/Camera-Deluxe-001-1.webp,https://naplesexperiences-netizen.github.io/experiences-demos/demos/hotel-giosue-a-mare-meta-sorrento-demo-experiences/,2026-06-11,2026-06-11,No,Meta di Sorrento,Sì (probabile),Sì (SEO 92),No (non rilevato),Incerto,3.5,Via A. Caruso 2 fronte mare con piscina e ristorante. | PageSpeed mobile: perf=94 seo=92 bp=96. Stack: n/d. Booking engine: non rilevato. Blog non ancora verificato (conteggiato 0.5).,Hotel Giosue a Mare; Hotel 4 stelle; Meta di Sorrento; Via A. Caruso 2 fronte mare con piscina e ristorante; palette mediterranea su misura; sezioni: hero / camere-servizi / esperienze / posizione / contatti-prenota; lingue IT/EN; tono coerente col segmento; CTA 'Prenota ora / Richiedi disponibilità'
Panorama Palace Hotel,https://www.hotelpanoramapalace.it,https://www.google.com/maps/search/?api=1&query=Panorama+Palace+Hotel+Meta+di+Sorrento,Hotel 4 stelle,2,info@hotelpanoramapalace.it,https://www.hotelpanoramapalace.it/images/large/112_camere-superior-hotel-panorama-palace-1.jpg?v=90ab https://www.hotelpanoramapalace.it/images/large/116_piscina-hotel-panorama-palace-4.jpg?v=a831 https://www.hotelpanoramapalace.it/images/large/119_solarium-hotel-panorama-palace-72_621.jpg?v=a831,https://naplesexperiences-netizen.github.io/experiences-demos/demos/panorama-palace-hotel-meta-sorrento-demo-experiences/,2026-06-11,2026-06-11,No,Meta di Sorrento,Incerto (stack classico),Sì (SEO 92),No (non rilevato),Incerto,3.0,Piazza Scarpati 1 con museo archeologico vista Golfo. | PageSpeed mobile: perf=62 seo=92 bp=96. Stack: Bootstrap|jQuery|WebFont Loader. Booking engine: non rilevato. Blog non ancora verificato (conteggiato 0.5).,Panorama Palace Hotel; Hotel 4 stelle; Meta di Sorrento; Piazza Scarpati 1 con museo archeologico vista Golfo; palette mediterranea su misura; sezioni: hero / camere-servizi / esperienze / posizione / contatti-prenota; lingue IT/EN; tono coerente col segmento; CTA 'Prenota ora / Richiedi disponibilità'
Bleu Village Resort & Residence,https://www.bleuvillage.com,https://www.google.com/maps/search/?api=1&query=Bleu+Village+Resort+%26+Residence+Meta+di+Sorrento,Resort & Residence,1,info@bleuvillage.com,https://www.bleuvillage.com/images/large/tbg1290_piscina-bleu-village-meta.jpg?v=ffe5 https://www.bleuvillage.com/images/large/tbg145_bleu-village-holiday-village-38_673.jpg?v=d0af https://www.bleuvillage.com/images/large/tbg607_quotation-marks-3.png?v=37b5,https://naplesexperiences-netizen.github.io/experiences-demos/demos/bleu-village-resort-residence-demo-experiences/,2026-06-10,2026-06-11,No,Meta di Sorrento,Incerto (stack classico),Sì (SEO 92),No (non rilevato),Incerto,4.0,Via Francesco Caracciolo 199 villaggio turistico con bungalow. | PageSpeed mobile: perf=61 seo=92 bp=96. Stack: Bootstrap|jQuery|WebFont Loader. Booking engine: non rilevato. Blog non ancora verificato (conteggiato 0.5).,Bleu Village Resort & Residence; Resort & Residence; Meta di Sorrento; Via Francesco Caracciolo 199 villaggio turistico con bungalow; palette mediterranea su misura; sezioni: hero / camere-servizi / esperienze / posizione / contatti-prenota; lingue IT/EN; tono coerente col segmento; CTA 'Prenota ora / Richiedi disponibilità'
Hotel Capo La Gala,https://www.hotelcapolagala.com,https://www.google.com/maps/search/?api=1&query=Hotel+Capo+La+Gala+Vico+Equense,Hotel 5 stelle,2,info@hotelcapolagala.com,,https://naplesexperiences-netizen.github.io/experiences-demos/demos/hotel-capo-la-gala-vico-equense-demo-experiences/,2026-06-10,,No,Vico Equense,Sì (probabile),Sì (SEO 100),Sì (blastness),Incerto,3.5,Via Luigi Serio 8 lusso wellness sul mare. | PageSpeed mobile: perf=89 seo=100 bp=77. Stack: n/d. Booking engine: blastness. LUSSO(plus). Blog non ancora verificato (conteggiato 0.5).,Hotel Capo La Gala; Hotel 5 stelle; Vico Equense; Via Luigi Serio 8 lusso wellness sul mare; palette mediterranea su misura; sezioni: hero / camere-servizi / esperienze / posizione / contatti-prenota; lingue IT/EN; tono coerente col segmento; CTA 'Prenota ora / Richiedi disponibilità'
Hotel Mary,https://www.hotelmaryvico.com,https://www.google.com/maps/search/?api=1&query=Hotel+Mary+Vico+Equense,Hotel 4 stelle,2,info@hotelmaryvico.com,https://www.hotelmaryvico.com/assets/images/layout/vico-equense.jpg https://www.hotelmaryvico.com/assets/images/layout/endesia.svg https://www.hotelmaryvico.com/assets/images/layout/water.png,https://naplesexperiences-netizen.github.io/experiences-demos/demos/hotel-mary-vico-equense-demo-experiences/,2026-06-10,,No,Vico Equense,Sì (probabile),Sì (SEO 100),No (non rilevato),Incerto,3.5,Via Filangieri 132 posizione panoramica vicino al mare. | PageSpeed mobile: perf=66 seo=100 bp=100. Stack: Bootstrap|jQuery|yepnope|core-js. Booking engine: non rilevato. Blog non ancora verificato (conteggiato 0.5).,Hotel Mary; Hotel 4 stelle; Vico Equense; Via Filangieri 132 posizione panoramica vicino al mare; palette mediterranea su misura; sezioni: hero / camere-servizi / esperienze / posizione / contatti-prenota; lingue IT/EN; tono coerente col segmento; CTA 'Prenota ora / Richiedi disponibilità'
Eden Bleu Hotel,https://www.edenbleuhotel.it,https://www.google.com/maps/search/?api=1&query=Eden+Bleu+Hotel+Vico+Equense,Hotel 4 stelle,3,info@edenbleuhotel.it,https://www.edenbleuhotel.it/templates/splashpage/images/freccia_next.png https://www.edenbleuhotel.it/templates/splashpage/images/freccia_prev.png https://www.edenbleuhotel.it/templates/splashpage/images/freccia.png,,2026-06-10,,No,Vico Equense,Sì (probabile),Sì (SEO 92),Sì (blastness),Incerto,2.5,Via Murrano 17 Marina d'Aequa fronte mare. | PageSpeed mobile: perf=82 seo=92 bp=73. Stack: jQuery|jQuery UI|Isotope. Booking engine: blastness. Blog non ancora verificato (conteggiato 0.5).,Eden Bleu Hotel; Hotel 4 stelle; Vico Equense; Via Murrano 17 Marina d'Aequa fronte mare; palette mediterranea su misura; sezioni: hero / camere-servizi / esperienze / posizione / contatti-prenota; lingue IT/EN; tono coerente col segmento; CTA 'Prenota ora / Richiedi disponibilità'
Aequa Hotel,https://www.aequahotel.net,https://www.google.com/maps/search/?api=1&query=Aequa+Hotel+Vico+Equense,Hotel 3 stelle,3,info@aequahotel.net,https://www.aequahotel.net/wp-content/uploads/2025/06/DJI_0286-2-768x1152.jpg https://www.aequahotel.net/wp-content/uploads/2025/06/DJI_0284-768x1365.jpg https://www.aequahotel.net/wp-content/uploads/2025/06/DSC0513-768x1152.jpg,,2026-06-10,,No,Vico Equense,Sì (probabile),Sì (SEO 85),Sì (simplebooking),Incerto,2.5,Via Filangieri 46 struttura cittadina. | PageSpeed mobile: perf=60 seo=85 bp=92. Stack: wordpress|jQuery|jQuery UI|Isotope|Can|FlexSlider|WordPress|. Booking engine: simplebooking. Blog non ancora verificato (conteggiato 0.5).,Aequa Hotel; Hotel 3 stelle; Vico Equense; Via Filangieri 46 struttura cittadina; palette mediterranea su misura; sezioni: hero / camere-servizi / esperienze / posizione / contatti-prenota; lingue IT/EN; tono coerente col segmento; CTA 'Prenota ora / Richiedi disponibilità'
Hotel Sporting,https://www.hotel-sporting.it,https://www.google.com/maps/search/?api=1&query=Hotel+Sporting+Vico+Equense,Hotel 4 stelle,2,info@hotel-sporting.it,https://www.hotel-sporting.it/thumb/640x/0/00fc076cf835c3179904cbb10b9859e4/assets/images/public/slider/screen/hotel-sporting-vico-equense_u3_t1668686828.jpg.webp https://www.hotel-sporting.it/assets/video/poster/hotel-sporting.jpg.webp https://www.hotel-sporting.it/assets/images/layout/fragola-200x.png,,2026-06-10,,No,Vico Equense,Sì (probabile),Sì (SEO 100),No (non rilevato),Incerto,3.5,Via Filangieri 120 49 camere con spiaggia privata vista Vesuvio. | PageSpeed mobile: perf=71 seo=100 bp=100. Stack: n/d. Booking engine: non rilevato. Blog non ancora verificato (conteggiato 0.5).,Hotel Sporting; Hotel 4 stelle; Vico Equense; Via Filangieri 120 49 camere con spiaggia privata vista Vesuvio; palette mediterranea su misura; sezioni: hero / camere-servizi / esperienze / posizione / contatti-prenota; lingue IT/EN; tono coerente col segmento; CTA 'Prenota ora / Richiedi disponibilità'
Hotel Astoria,https://www.hotelastoriavico.it,https://www.google.com/maps/search/?api=1&query=Hotel+Astoria+Vico+Equense,Hotel 3 stelle,2,prenotazioni@astoriavico.com,https://www.hotelastoriavico.it/wp-content/plugins/revslider/public/assets/assets/dummy.png https://www.hotelastoriavico.it/wp-content/uploads/2022/01/dettaglio-reception-768x512.jpg https://www.hotelastoriavico.it/wp-content/uploads/2022/01/singola-1024x680.jpg,,2026-06-10,,No,Vico Equense,Incerto,Sì (SEO 92),No (non rilevato),Incerto,3.0,Corso Filangieri 22 hotel nel centro. | PageSpeed mobile: perf=63 seo=92 bp=73. Stack: wordpress|jQuery|WordPress|core-js. Booking engine: non rilevato. Blog non ancora verificato (conteggiato 0.5).,Hotel Astoria; Hotel 3 stelle; Vico Equense; Corso Filangieri 22 hotel nel centro; palette mediterranea su misura; sezioni: hero / camere-servizi / esperienze / posizione / contatti-prenota; lingue IT/EN; tono coerente col segmento; CTA 'Prenota ora / Richiedi disponibilità'
Maison Montechiaro,https://www.maisonmontechiaro.com,https://www.google.com/maps/search/?api=1&query=Maison+Montechiaro+Vico+Equense,B&B / Maison,4,info@maisonmontechiaro.com,,,2026-06-10,,No,Vico Equense,Sì (probabile),Sì (SEO 100),Sì (blastness),Incerto,1.5,Via Cappella del Monte 17 vista mare da terrazza panoramica. | PageSpeed mobile: perf=80 seo=100 bp=81. Stack: n/d. Booking engine: blastness. Blog non ancora verificato (conteggiato 0.5).,Maison Montechiaro; B&B / Maison; Vico Equense; Via Cappella del Monte 17 vista mare da terrazza panoramica; palette mediterranea su misura; sezioni: hero / camere-servizi / esperienze / posizione / contatti-prenota; lingue IT/EN; tono coerente col segmento; CTA 'Prenota ora / Richiedi disponibilità'
Villa Agostino,https://www.villaagostino.it,https://www.google.com/maps/search/?api=1&query=Villa+Agostino+Vico+Equense,B&B luxury,3,,https://www.villaagostino.it/wp-content/plugins/sitepress-multilingual-cms/res/flags/en.svg https://www.villaagostino.it/wp-content/plugins/sitepress-multilingual-cms/res/flags/it.svg https://www.villaagostino.it/wp-content/uploads/2025/04/Villa-Agostino-Vico-Equense-Luxury-bb-Accomodation-Rooms-Sorrento-Coast-93-.webp,,2026-06-10,,No,Vico Equense,Sì (probabile),Sì (SEO 92),No (non rilevato),Incerto,2.5,Via Bonea 32 residenza 800 con 3 camere segmento luxury. | PageSpeed mobile: perf=62 seo=92 bp=100. Stack: wordpress|jQuery|jQuery UI|WordPress|core-js. Booking engine: non rilevato. LUSSO(plus). Blog non ancora verificato (conteggiato 0.5).,Villa Agostino; B&B luxury; Vico Equense; Via Bonea 32 residenza 800 con 3 camere segmento luxury; palette mediterranea su misura; sezioni: hero / camere-servizi / esperienze / posizione / contatti-prenota; lingue IT/EN; tono coerente col segmento; CTA 'Prenota ora / Richiedi disponibilità'
Hotel Stabia,https://www.stabiahotel.it,https://www.google.com/maps/search/?api=1&query=Hotel+Stabia+Castellammare+di+Stabia,Hotel 4 stelle,3,info@hotelstabia.com,,,2026-06-10,,No,Castellammare di Stabia,Sì (probabile),Sì (SEO 100),Sì (blastness),Incerto,2.5,Lungomare vista Vesuvio e Golfo. | PageSpeed mobile: perf=93 seo=100 bp=81. Stack: n/d. Booking engine: blastness. Blog non ancora verificato (conteggiato 0.5).,Hotel Stabia; Hotel 4 stelle; Castellammare di Stabia; Lungomare vista Vesuvio e Golfo; palette mediterranea su misura; sezioni: hero / camere-servizi / esperienze / posizione / contatti-prenota; lingue IT/EN; tono coerente col segmento; CTA 'Prenota ora / Richiedi disponibilità'
