Nome_Azienda,URL_Sito,Google_Business_Link,Categoria,Priorita,Email,Immagini,Link_Demo,Data_Generazione,Data_Contatto,Contattato,Citta,Sito_Pre2020,Mobile_Friendly,Channel_Manager,Blog,Criteri_Soddisfatti,Note,Brief_Demo_OpenClaw
San Francesco Resort,https://www.sanfrancescoresort.com,https://www.google.com/maps/search/?api=1&query=San+Francesco+Resort+Agropoli,Hotel/Resort SPA,2,info@sanfrancescoresort.com,,,2026-06-10,,No,Agropoli,Da analizzare,Da analizzare (no PageSpeed),Da analizzare,Incerto,3.0,4 stelle ex convento XII sec SPA wellness terrazza vista mare upper. | PageSpeed: perf=FAIL seo= bp=. Stack: n/d. Booking engine: non rilevato. Blog non verificato (0.5).,San Francesco Resort; Hotel/Resort SPA; Agropoli; 4 stelle ex convento XII sec SPA wellness terrazza vista mare upper; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Hotel Riccio,https://www.albergoriccio.it,https://www.google.com/maps/search/?api=1&query=Hotel+Riccio+Marina+di+Camerota,Hotel 3 stelle,3,info@albergoriccio.it,,,2026-06-10,,No,Marina di Camerota,Da analizzare,Da analizzare (no PageSpeed),Da analizzare,Incerto,2.0,Lungomare Trieste 93 sul mare al centro 18 camere. | PageSpeed: perf=FAIL seo= bp=. Stack: n/d. Booking engine: non rilevato. Blog non verificato (0.5).,Hotel Riccio; Hotel 3 stelle; Marina di Camerota; Lungomare Trieste 93 sul mare al centro 18 camere; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Hotel Tirreno,https://www.hoteltirrenosapri.it,https://www.google.com/maps/search/?api=1&query=Hotel+Tirreno+Sapri,Hotel 4 stelle,3,info@hoteltirrenosapri.it,,,2026-06-10,,No,Sapri,Da analizzare,Da analizzare (no PageSpeed),Da analizzare,Incerto,2.0,Lungomare Italia 44 fronte mare con spiaggia privata mid-upper. | PageSpeed: perf=FAIL seo= bp=. Stack: n/d. Booking engine: non rilevato. Blog non verificato (0.5).,Hotel Tirreno; Hotel 4 stelle; Sapri; Lungomare Italia 44 fronte mare con spiaggia privata mid-upper; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Hotel Pisacane,https://www.hotelpisacane.it,https://www.google.com/maps/search/?api=1&query=Hotel+Pisacane+Sapri,Hotel 4 stelle,3,info@hotelpisacane.it,,,2026-06-10,,No,Sapri,Da analizzare,Da analizzare (no PageSpeed),Da analizzare,Incerto,2.0,Via Carlo Alberto 35 palazzo ottocentesco ristrutturato gestione familiare. | PageSpeed: perf=FAIL seo= bp=. Stack: n/d. Booking engine: non rilevato. Blog non verificato (0.5).,Hotel Pisacane; Hotel 4 stelle; Sapri; Via Carlo Alberto 35 palazzo ottocentesco ristrutturato gestione familiare; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Hotel Ristorante Cavaliere,https://www.scariohotelcavaliere.it,https://www.google.com/maps/search/?api=1&query=Hotel+Ristorante+Cavaliere+Scario,Hotel 2 stelle,4,info@scariohotelcavaliere.it,,,2026-06-10,,No,Scario,Da analizzare,Da analizzare (no PageSpeed),Da analizzare,Incerto,1.0,Via Rione Nuovo 12 centro storico di Scario economico. | PageSpeed: perf=FAIL seo= bp=. Stack: n/d. Booking engine: non rilevato. Blog non verificato (0.5).,Hotel Ristorante Cavaliere; Hotel 2 stelle; Scario; Via Rione Nuovo 12 centro storico di Scario economico; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
MagicoMar Hotel,https://www.magicomarhotel.it,https://www.google.com/maps/search/?api=1&query=MagicoMar+Hotel+Ascea,Hotel 4 stelle,3,info@magicomarhotel.it,,,2026-06-10,,No,Ascea,Da analizzare,Da analizzare (no PageSpeed),Da analizzare,Incerto,2.0,Marina di Ascea 250m dal mare vicino area archeologica Elea-Velia. | PageSpeed: perf=FAIL seo= bp=. Stack: n/d. Booking engine: non rilevato. Blog non verificato (0.5).,MagicoMar Hotel; Hotel 4 stelle; Ascea; Marina di Ascea 250m dal mare vicino area archeologica Elea-Velia; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Eleamare Resort,https://www.eleamare.it,https://www.google.com/maps/search/?api=1&query=Eleamare+Resort+Ascea,Resort/Villaggio,4,prenotazioni@eleamare.it,,,2026-06-10,,No,Ascea,Da analizzare,Da analizzare (no PageSpeed),Da analizzare,Incerto,1.0,Via Porta Rosa 185 vicino parco archeologico Velia e spiaggia famiglie. | PageSpeed: perf=FAIL seo= bp=. Stack: n/d. Booking engine: non rilevato. Blog non verificato (0.5).,Eleamare Resort; Resort/Villaggio; Ascea; Via Porta Rosa 185 vicino parco archeologico Velia e spiaggia famiglie; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Victoria Resort,https://www.victoriaresort.it,https://www.google.com/maps/search/?api=1&query=Victoria+Resort+Ascea,Hotel 3 stelle,3,info@victoriaresort.it,,,2026-06-10,,No,Ascea,Da analizzare,Da analizzare (no PageSpeed),Da analizzare,Incerto,2.0,Via di Porta Rosa 49 gestione familiare con piscina mid. | PageSpeed: perf=FAIL seo= bp=. Stack: n/d. Booking engine: non rilevato. Blog non verificato (0.5).,Victoria Resort; Hotel 3 stelle; Ascea; Via di Porta Rosa 49 gestione familiare con piscina mid; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Marulivo Hotel,https://www.marulivohotel.it,https://www.google.com/maps/search/?api=1&query=Marulivo+Hotel+Pisciotta,Hotel di charme,3,info@marulivohotel.it,,,2026-06-10,,No,Pisciotta,Da analizzare,Da analizzare (no PageSpeed),Da analizzare,Incerto,2.0,Via Castello ex monastero XIV sec 11 camere vista mare boutique. | PageSpeed: perf=FAIL seo= bp=. Stack: n/d. Booking engine: non rilevato. LUSSO(plus). Blog non verificato (0.5).,Marulivo Hotel; Hotel di charme; Pisciotta; Via Castello ex monastero XIV sec 11 camere vista mare boutique; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Hotel Riviera,https://hotelrivierapisciotta.it,https://www.google.com/maps/search/?api=1&query=Hotel+Riviera+Pisciotta,Hotel 3 stelle,3,info@hotelrivierapisciotta.it,,,2026-06-10,,No,Pisciotta,Da analizzare,Da analizzare (no PageSpeed),Da analizzare,Incerto,2.0,Via Colombo Marina di Pisciotta mid. | PageSpeed: perf=FAIL seo= bp=. Stack: n/d. Booking engine: non rilevato. Blog non verificato (0.5).,Hotel Riviera; Hotel 3 stelle; Pisciotta; Via Colombo Marina di Pisciotta mid; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Villaggio Club La Maree,https://www.lamaree.net,https://www.google.com/maps/search/?api=1&query=Villaggio+Club+La+Maree+Pisciotta,Villaggio 3 stelle,4,villaggio@lamaree.net,,,2026-06-10,,No,Pisciotta,Da analizzare,Da analizzare (no PageSpeed),Da analizzare,Incerto,1.0,Via Fosso della Marina sul mare 165 camere spiaggia privata animazione famiglie. | PageSpeed: perf=FAIL seo= bp=. Stack: n/d. Booking engine: non rilevato. Blog non verificato (0.5).,Villaggio Club La Maree; Villaggio 3 stelle; Pisciotta; Via Fosso della Marina sul mare 165 camere spiaggia privata animazione famiglie; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
ArcheoTrekking Palinuro,https://www.archeotrekking.net,https://www.google.com/maps/search/?api=1&query=ArcheoTrekking+Palinuro+Palinuro,Tour operator/Agenzia viaggi,3,info@archeotrekking.net,,,2026-06-10,,No,Palinuro,Da analizzare,Da analizzare (no PageSpeed),Da analizzare,Incerto,2.0,Tour in barca grotte di Palinuro trekking escursioni Cilento. | PageSpeed: perf=FAIL seo= bp=. Stack: n/d. Booking engine: non rilevato. Blog non verificato (0.5).,ArcheoTrekking Palinuro; Tour operator/Agenzia viaggi; Palinuro; Tour in barca grotte di Palinuro trekking escursioni Cilento; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
Cooperativa Cilento Blu,https://www.coopcilentoblu.com,https://www.google.com/maps/search/?api=1&query=Cooperativa+Cilento+Blu+Marina+di+Camerota,Tour operator escursioni barca,3,,,,2026-06-10,,No,Marina di Camerota,Da analizzare,Da analizzare (no PageSpeed),Da analizzare,Incerto,2.0,Escursioni grotte Palinuro e Marina di Camerota attivita turistiche. | PageSpeed: perf=FAIL seo= bp=. Stack: n/d. Booking engine: non rilevato. Blog non verificato (0.5).,Cooperativa Cilento Blu; Tour operator escursioni barca; Marina di Camerota; Escursioni grotte Palinuro e Marina di Camerota attivita turistiche; palette mediterranea coerente col segmento; sezioni: hero / camere e servizi / esperienze e territorio / posizione / contatti-prenota; lingue IT/EN; CTA 'Prenota ora / Richiedi disponibilità'
